aaaa	工 恭恭敬敬
mtdj	几百 峤
mtdn	几万
mtfg	败坏 几十
mtfn	几声 几块
mtgd	几天
mtgf	崜
mtgh	几下
mthi	几步
mthk	几点
mtjc	颼
mtjf	几时
mtjj	几日
mtjk	颱 颭
mtkg	赂
mtkk	几口
mtkw	几只
mtmn	峨嵋
mtmt	巍峨
mtn	几
mtnn	屹
mtpe	几家
mtpy	贬
mtqk	几句 几名
mtrh	几年 几千年
mtrt	峨
mttf	几千
mttk	几种
mtts	几条
mttu	几乎
mtuf	嵙
mtuq	几次
mtut	几道
mtux	嵊
mtvc	巍
mtvh	嵂
mtwf	贬值
mtwh	几个 嵸 嵷
mtwr	几件
mtws	几何
mtwu	几位
mtwv	几分
mtxc	几经
mty	败 敗
mtyi	內
mtyn	账户
muda	嵯
muff	赔款
mugd	嵄
mujh	嶂
mukg	赔
mulj	赠 嶒
mumj	剛
muqg	赚钱
mute	嵃
muud	赠送
muvo	赚
muwi	赔偿
muxx	嵫
muyn	罔
mvkf	岧
mvlg	崰
mvqt	凤姐儿
mvyu	岃
mvyy	屻
mwal	内功
mwam	周仲英
mwbb	岭子
mwbf	内陆
mwce	周伯通
mwcn	嵡
mwdh	内存 内在
mwey	内脏
mwfb	内地
mwfd	内城
mwfi	赊
mwfm	岭南
mwga	崙
mwgh	内政
mwgi	崄
mwgj	崳 嵛
mwgk	峇
mwgu	嶝
mwgx	同位素
mwhk	内战
mwi	内
mwib	内涵
mwin	内分泌
mwip	几何学
mwis	内河
mwkd	冏
mwlt	内力
mwny	内心
mwod	肉类
mwpw	内容
mwqh	内外
mwqk	几分钟
mwtd	内乱
mwtl	内务
mwuk	内部
mwut	内阁
mwwi	肉
mwwk	峪
mwwm	内侧
mwws	肉体
mwxx	肉丝
mwya	内讧
mwyc	岭
mwyf	崔
mwyk	巂
mwym	内设
mwyn	岑
mxic	网络游戏
mxjj	岪
mxth	嶷
mybg	崞
myd	丹
myet	彤
myfg	賍 赃
mygk	凡事
mygt	丹麦
myi	凡
myjg	凡是 凯旋归来
myll	丹田
mymk	嵩 嵪
mymm	嵩山
mymn	貥
mynw	赅
myps	嵉
mywf	崒 崪
myyn	同义词
naaa	民工
naag	恜
naap	民营
naaq	民警
nabm	展出
nadw	愜
naei	展
naet	民用
nafh	愅
nafi	展示
naga	展开
nagg	恇
nagh	民政 殿下
nagk	民事 懂事
nagm	展现
nagw	惬
naif	民法
naip	异常
naj	异 羿
najc	敯
najf	昬
najg	惜
najj	蟁
najt	展览
naky	懽
nalg	民国
nalh	懵
nalq	懜
nalw	民办
namw	殿内
namy	愩
nann	怈
nant	异性
nanv	屉
nany	慌忙 民心
nape	懞
naqj	憯
naqy	怄
narg	民兵
nask	民歌
nasu	异样
natd	慌乱
nate	民航
natf	懂
natg	民生
natj	懂得
natn	愍
nauj	民间 民意
nav	民
navf	民建
nawc	殿
nawe	臀
nawf	壂
naww	民众 民俗
naya	殿试
nayg	民主
nayq	慌
nayt	民族
nayy	异议
nbbb	孱
nbcc	慑
nbde	憜
nbdf	屈辱
nbdr	屈原
nbeb	屈服
nbgf	敢于
nbmk	屈
nbn	忚
nbsk	屙
nbtn	憨
nbty	敢
ncbh	忬
ncde	惨
nceh	悀
ncfg	怪
ncfh	怿
nckg	怡
ncmt	惨败
ncna	怪异
ncpv	惨案
ncrh	恈
ncrr	惨白
nctg	惨重
nctr	怪物
ndae	惰
ndbp	剧院
ndd	居
ndde	忧郁
ndfn	剧场
ndg	怙
ndgf	居于
ndgn	憾
ndgq	剧烈
ndgx	剧毒
ndha	忧虑
ndhh	剧目
ndjd	悱
ndjh	剧
ndlf	剧团
ndlp	发达国家
ndmd	愞
ndmh	怖
ndna	居民
ndng	剧情
ndnn	忧
ndoy	恢
ndpy	剧社
ndqd	居然
ndqq	居多
ndsg	剧本
ndtj	恢复
nduc	剧痛
ndwf	发布会
ndwt	剧作
ndww	悏
ndwy	居住
ndy	忕
nerm	愮
nern	发脾气
neug	心脏病
nfam	愤
nfbg	丑陋
nfbk	屆
nfci	层
nfcl	恸
nfcy	怯 翄
nfd	丑
nfdj	懦
nfdm	层面
nffy	恃
nfga	改进型
nfgc	导致
nfgk	迅速
nfh	忓
nfhw	慎
nfic	叞
nfif	尉
nfin	慰
nfio	熨
nfip	导演
nfiy	导游
nfjg	导师
nfjj	蝨
nfk	卂
nfke	憉
nfnf	层层
nfnv	愤慨
nfoo	懗
nfpb	悖
nfpk	迅
nfqs	屠杀
nfqt	迅猛
nfrg	迅捷
nfsm	发动机
nfte	导航
nftg	慎重
nftj	愭 屠
nftm	导向
nftp	导管
nftx	恅
nfu	导
nfuf	悻
nfuk	慰问
nfuq	层次
nfvc	愤怒
nfww	发起人
nfxu	导弹
nfy	忖
ngab	情节
ngbb	屋子
ngcf	屋
ngcn	司马
ngd	刁
ngdg	情感
ngdr	情愿
ngeb	怀孕
ngeg	情
ngfh	情趣
ngga	情形
nggf	以至于
nghg	怔
ngif	司法
ngip	心理学
ngiw	屋脊
ngiy	怀
ngjf	屋里 怀里
ngjg	恒
ngjt	恒星
ngjy	情景
ngkd	司
ngkg	悟
ngkh	怀中
ngki	悚
ngkm	懒
ngmm	恒山
ngng	怦怦
ngpw	司空
ngqx	屍
ngrb	情报
ngrk	情操
ngrq	怀抱
ngrv	情势
ngsd	屋顶
ngsi	必不可少
ngsm	司机
ngta	司长
ngtj	恨不得 怪不得 懒得
ngts	情不自禁
ngud	怀着
nguh	怦
nguk	情况
ngvv	悽
ngww	情人 情欲
ngwy	司令 怀念
ngxf	情绪
ngxi	愫
ngxt	怀疑
ngym	情调
nhad	收藏
nhaq	收获
nhbc	收取
nhbh	郿
nhcu	叏
nhcy	収
nhd	眉
nhda	戕
nhdd	奘 牂 獎
nhde	爿
nhdj	螿
nhdk	牁
nhds	牀
nhef	胥
nhfc	收支 叚
nhfp	蛋壳 遐
nhgc	收到
nhi	疋
nhjg	疍
nhjh	悼
nhju	蛋
nhkb	韕
nhkg	怗
nhkj	韣
nhkl	韗
nhkp	違
nhks	韘
nhkv	韜
nhlk	收回
nhmq	收购
nhnr	惧怕
nhou	蛋糕
nhqg	鹛
nhqn	悓
nhqr	疏忽
nhrr	蛋白
nhrw	收拾
nhtf	眉毛
nhtj	收复
nhty	收入 收
nhud	眉头
nhuw	收益
nhwg	收敛
nhwy	收集 惧 悼念
nhxj	收费
nhxp	收缩
nhyq	疏
nied	屑
nieg	悄
nifb	发源地
nifn	悄声
nii	尿
nilj	劚 屬
nini	悄悄
niqd	悄然
niqi	尼泊尔
niqn	恍
nirh	犀
niuk	司法部
njcf	悭
njfh	悍
njgg	怛
njiq	愰
njlc	慢
njlg	愠
njnj	慢慢
njnt	慢性
njqn	愒
njqr	惕
njsm	发电机
njsy	惈
njtg	惺 尼日利亚
njyi	憬
nkah	辟邪
nkcn	悒
nkga	避开
nkgg	悜
nkgl	壁画
nkhh	壁上 忡 翀
nkhm	愦
nkjf	避暑
nkkf	憚
nkkn	愕
nkks	懆
nkmh	屌
nkmy	愪
nkqd	愕然
nkqk	避免
nkue	臂 襞
nkuf	壁
nkuh	辟 躄
nkun	甓
nkup	避
nkuq	鐾
nkur	擘
nkus	檗
nkuv	劈 嬖
nkuy	璧 譬
nkvk	譬如
nlaw	翼
nld	乪
nlff	懌
nlis	尼罗河
nlle	愶
nlll	恊
nlnr	惭愧
nlrh	惭
nlsy	悃
nlyn	愣
nmd	届
nmdj	惴
nmdy	怏
nmfk	惆
nmgk	恫
nmhj	刷
nmi	屃
nmjf	届时
nmjh	恻
nmmm	屭
nmnn	恺
nmun	惘
nmwy	慛
nmyy	忛
nnaj	惽
nnap	選
nnaw	巽
nnbp	书院
nnbv	局限
nncm	发展观
nnde	已有
nndm	局面 书面
nndn	已成
nnef	乙肝
nnfb	悄悄地
nnfg	忸
nnfr	惊心动魄
nngf	习惯于
nngk	快速
nngl	书画
nngn	己 巳
nngt	尸
nngw	巺
nnhh	书目
nnhi	快步
nnhk	屫
nnhy	书
nnif	书法
nnit	快活
nnjv	快照
nnkd	局
nnkq	发展史
nnll	乙
nnn	忆 忋
nnnn	已 快快
nnnu	忌惮 惢
nnoq	乙烯
nnpg	书写
nnqd	已然
nnqi	快乐
nnrg	慴
nnrv	局势
nnsg	书本 乙醇
nnsv	快要
nnta	局长
nntd	已知 书籍
nnte	快船
nntf	羽毛
nntg	书生
nntm	尸身
nnu	忌
nnuk	局部
nnut	尸首
nnv	乜
nnws	尸体
nnwy	快 书信
nnxc	已经
nnxn	怩
nnyf	忌讳
nnyg	羽
nnyn	书记 书房
noi	屎
nooy	惔
nouq	屡次
novd	屡
npdi	屪
npfb	发祥地
npfi	悰
npjt	司礼监
nplh	恽 惲
nplj	翚
npmw	屈家岭
npnn	悺
npqb	惋
npqn	忱
nptk	愘
npwa	悾
nqaj	惛
nqdh	悕
nqdn	恍然大悟
nqdy	憺
nqeh	懈
nqgq	以色列
nqjg	恂
nqkg	翑
nqkq	悗
nqmd	愌
nqrn	惚
nqvg	惂
nqyg	鸤
nram	惶恐
nrg	怕
nrgg	惶
nrh	忻
nrnn	忾
nrqc	愧
nrqw	惞
nrrf	蛋白质
nryt	憿
nsce	尽可能
nsfi	慓
nsg	恓
nsh	忊
nsoy	憟
nssh	憷
nsyy	怵
ntaf	改革
ntan	屜
ntay	怅
ntbb	性子
ntbg	悸
ntbh	邲
ntbm	发出
ntce	性能
ntcn	尾巴
ntdg	恬
ntdm	发布
ntdn	改成
ntdp	发达
nte	必
nted	必须
ntet	改用
ntfc	发动 屐
ntfd	必需
ntfh	发起 忤 忏
ntfj	改进
ntfk	悎
ntfn	尾
ntge	发表
ntgf	属于 羽毛球
ntgg	性
ntgh	属下 改正
ntgi	憡
ntgm	发现
nthf	怍
nthh	屣
ntia	发泄
ntid	发源
ntip	发觉
ntiq	发光
ntit	性生活
ntje	发明
ntjh	悧
ntji	虱
ntjn	发电
ntjt	愎
ntkg	恪
ntkk	飞行器 发射器
ntkl	性别
ntkm	飞行员
ntky	属
ntlg	恤
ntmd	懊
ntmf	发财
ntna	发展
ntng	性情
ntnn	忔
ntnt	属性
ntov	屦
ntoy	愀
ntpg	必定
ntpu	属实
ntqd	必然
ntqg	尾鳍
ntqk	改名
ntrf	性质
ntrm	改制
ntrn	发掘 发扬
ntrp	发挥
ntrr	发誓
ntru	发抖
ntrv	发热
ntsg	发酵
ntst	性格
ntsv	必要
nttf	改造 发行 履行
nttg	发生
nttl	必备
nttm	发射
nttp	心血管
nttq	改称
nttt	履
ntud	改善 发送 性状
ntuf	改装
ntug	发病
ntuj	发音
ntuk	尾部
ntuq	必将
ntvf	改建
ntvh	尽管如此
ntwf	居委会
ntwg	性命
ntwt	发作
ntwy	发信
ntxe	改组
ntxu	悔
ntxw	发给
ntxy	改编
nty	改 攺
ntyc	发 发育
ntyf	必读
ntyl	改为
ntyo	改变
ntyt	发放
ntyv	改良
ntyy	发言
nuah	恲
nuaj	屏幕
nuak	屏
nubu	屏障
nud	习
nudb	惓
nudd	羼
nudf	飞奔
nudu	买
nueg	憪
nuf	翌
nufn	买卖
nug	翋
nugk	飞速
nugo	飞来
nui	飞
nujf	憧 惮
nujg	愔
nukh	飞跃
nukq	悦
nulj	憎
nulk	飞架
numq	屏风
nunn	飞快
nunt	习性
nunv	憎恨
nunx	习惯
nurh	翌年
nurl	飞舞
nurn	飞扬
nusm	飞机
nutd	愱
nute	飞船
nutf	飞行
nuth	飝
nutm	飞身
nuud	飞翔
nuvf	翣
nuvo	慊
nuww	习俗
nuxt	悌
nuyx	发病率
nuyy	悯
nvaf	憳
nvcq	慨
nvey	恨
nvv	尻
nwam	惟恐
nwbn	怆
nwde	惟有
nwea	戮
nweg	鹨
nwfw	懙
nwga	惀
nwgg	惟一
nwgj	愉
nwgk	恰
nwgw	憸
nwiv	恰当
nwjh	忦
nwkm	司令员
nwkq	悅
nwnn	愉快
nwnu	怜悯
nwnw	恰恰
nwny	憔悴
nwpe	剧作家
nwty	悇
nwuk	司令部
nwvb	恰好
nwvn	翂
nwww	发信人
nwya	戳
nwyc	怜 愯
nwyf	翟
nwyg	惟
nwyo	憔
nxem	屁股
nxfm	惯
nxjh	怫
nxnt	惯性
nxv	尼
nxvd	尼姑
nxwg	惯例
nxxf	悂
nxxv	屁
nxyx	惤
nyai	以东
nyam	惊恐
nyaw	民主革命
nybg	惇
nybh	恼 悙
nybt	憞
nyby	以防
nydr	心愿
nyds	惊奇
nydv	忙碌
nydy	心态
nyen	心肠
nyep	心爱
nyet	心腹
nyey	以及 心脏
nyfc	惊动
nyfg	尺寸
nyfi	以示 以求
nyfk	惊喜
nyfm	以南
nyfu	心境
nygc	以致 以至 迟到
nygf	忙于
nygh	以下
nygj	心理
nygk	心事
nygo	以来
nyhh	以上 心上 心目
nyhk	惦
nyhx	以此
nyhy	忭
nyi	尺
nyii	民主党派
nyip	民主党
nyit	忙活
nyiy	惊
nyjf	心里
nyjg	尽量 昼
nyjh	迟早 尽早
nyjt	尼摩星
nykc	惊叹
nykh	心中 心跳
nykn	惊叫
nykt	惊呼
nykw	咫
nyli	懔
nyln	心思
nylt	尽力 懍
nymw	以内
nyna	惊慌 惊异
nynd	悷
nyng	心情 尽情 心怀
nynn	忙 尽快
nynr	惊惶
nynv	慷慨
nyny	心 迟迟 心惊
nyov	尽数
nypi	迟
nypy	心神
nyqh	以外
nyqk	以免
nyrg	以后
nysc	懡
nysg	以西 惊醒
nysh	心想
nyti	民族自治
nytl	心血
nytp	尽管
nyty	以往
nyud	心头 尽头
nyue	以前
nyuj	心意
nyut	心疼
nyuu	尽
nyux	以北
nyvc	恼怒
nyvf	懠
nyvh	慵
nyvi	慷
nyvo	心灵
nywf	翠 民主人士 悴
nywg	以便
nyww	发言人 惊人
nywy	以 心念
nyxt	民族乡 迟疑
nyya	惊讶 尺度
nyyl	以为
nyyq	心底
nyyw	昼夜
nyyy	民主主义 民族主义
oadn	煁
oadw	粸
oady	煤矿
oafg	粓
oafh	煂
oafs	煤
oagf	燁
oaim	炼油
oakw	熯
oamd	煤炭
oamy	炼丹
oang	炬
oans	煠
oanw	炼
oaof	烧烤 烘烤
oaqj	熸 糣
oaqn	烧饼
oarm	烧制 炼制
oatq	烧
oava	烧毁
oawu	粪
oawy	烘 粠
obg	籽
obh	邩
obmh	炪
ocag	烃
ocbk	燏
ocbs	糅
ocde	糁
ockg	炲
ocn	粑
oddn	粝
odeg	糊 煳
odff	煃
odg	炻
odga	类型
odiw	糊涂
odjg	粨
odkh	烦躁
odkl	类别
odmj	粫
odmy	烦 煩
odny	烦恼
odu	类
odui	燎
odwn	类似
odyy	粏
oebg	粰
oedd	粗大
oeen	火腿肠
oefc	煖
oegg	粗
oeot	粗糙
oeuf	粗壮
ofaq	焼
ofdj	糯
ofg	灶
ofjf	煹
ofkk	熺
ofnh	炜
ofoy	糯米 焃
ofrh	数十年
oftn	烤
oftx	粩
ofwh	数十个
ogag	精巧
ogam	精英
ogbb	精子
ogbh	邺
ogbn	炖
ogce	精通
ogd	业
ogdq	精确
ogef	煿
ogeg	精
oges	精彩
oggc	精致
oggf	精于
ogia	精湛
ogje	精明
ogjg	烜
ogjq	粳
ogkg	焐
ogkk	精品
oglt	精力
oglw	业界
ogmj	糟
ogmw	业内 炳
ognn	业已
ogny	精心
ogou	糟糕
ogpn	精密
ogpy	精神
ogqu	精锐
ogrg	精兵
ogrm	精制
ogsy	粖
ogtf	精选
ogtl	业务
ogub	凿
oguc	黻
ogug	精美
ogui	黹
oguq	鑿
oguv	黺
oguy	黼
ogvi	精妙
ogwt	业余
ogwx	精华
ogxd	彂
ogxg	业绩
ogxl	精细
ogya	精度
ogyg	业主
ohea	粘膜
ohff	粘土
ohjh	焯
ohkg	粘 炶
ohqn	粯
oiae	炒菜
oidm	炒面
oieg	焇
oioy	炒米
oipe	数学家
oipo	爣
oitt	炒
oiwt	炒作
ojai	爆
ojbc	熶
ojdh	爆破
ojfg	粴
ojfh	焊
ojgg	炟
ojgh	煶
ojgr	煬
ojiq	烛光 熀
ojjg	焻
ojjj	爞
ojlc	熳
ojlg	煴
ojnt	爆发
ojot	爆炸
ojta	焺
ojtg	煋
ojug	煜
ojxx	焜
ojy	烛
okks	燥
okwy	炽
olaj	烟草
olaw	熼
olck	烟台
oldy	烟
olf	畨
olft	烟雾
olg	畑
olge	煨
olqj	燭
oluh	火车站
omag	粬
omdy	炴
omg	粙
omgk	粡
omh	灿 籼
omjx	熴
omkg	炯
ommg	粣
omou	灿烂
omwf	业内人士
onfg	粈
ongq	断裂
onhc	煆
onnf	断层
onnk	焗
onon	熠熠
onpg	断定
onqd	断然
onrh	断
onrt	炀
onug	糖尿病
onwa	断代
onwy	炔
onxq	断绝
onyu	烬
onyy	断言 粎
ooaw	爆米花 火花
ooax	火药
oobh	郯
oogc	爜
oogk	火速
oohc	敥
oohx	火柴
ooiq	火光
oojh	剡
oojt	火星
ookk	火器
oolg	火车
oolt	火力
oomm	火山
oooa	火烧 火炬
oooj	火爆
oooo	火 迷迷糊糊
oooq	火炮 火焰
ooos	燊
ooou	焱
oopo	火灾
oopv	嫈
ooqk	火锅
ooqn	糯米饭
oorc	火把
oorp	火控
oorv	炎热 火热
ootu	火箭
oou	炎
ooug	炎症
ooup	炎帝
oowh	火候
oowo	鶑
ooxx	断断续续
ooya	火炬计划
opak	迷惑
opbb	粽子
opfi	粽
opfq	烷
opgg	煊
ophk	熔点
opi	迷
oplh	煇
opmd	熔岩
oppk	迷宫
opqd	熔铸
opwk	熔
opww	迷人
opwx	数字化 焪
opwy	迷信
opyj	精神文明
opyo	迷恋
oqab	粼
oqah	粦
oqan	亃
oqap	遴
oqb	灮
oqbt	煼
oqck	炮台
oqdh	烯
oqdo	燃
oqfa	炮塔
oqfm	炮击
oqfn	炮声
oqgu	焕然一新
oqiy	烁
oqlc	炮轰
oqmd	焕
oqnn	炮
oqoa	燃烧
oqoo	炮火
oqou	燃料
oqoy	粷
oqrg	炮兵
oqvg	焰
oqwy	炊
oqxu	炮弹
oqyl	熘
oqyy	灼
org	粕
orgg	煌
orqw	焮
ortf	粺
oryl	数据库
osfg	煙
osg	粞
osh	灯
osiq	灯光
osjh	燂
osoo	灯火
ostd	灯笼
osyy	炢
otax	炸药
otdh	烽
otfn	粍
otfp	糙 烶
otgf	煄
otgo	熄灭 燻
othd	糗
othf	炸
othn	熄
othp	烻
otkg	烙
otln	熜
otmd	燠
otol	燔
otoy	煍
otuh	烀
otuy	炵
otxu	炸弹
oty	敉
oubb	粒子
oudh	烊
ouep	燧
oufg	烂
oufh	料
oug	粒
ougc	料到
ougi	爛
ougj	料理
ougo	糕
oukg	焙
oulj	熷
oumk	熵
ouny	焖
ouoc	糍粑
oush	料想
ouwy	熌
ouxx	糍
ovdc	数码
ovdj	数百
ovdn	数万
ovdy	数丈
ovee	数月
ovep	煺
ovf	娄
ovfg	数十
ovfp	煡
ovg	籹
ovgj	数理
ovhh	数目
ovip	数学
oviy	粶
ovjf	数里
ovjg	数量
ovjj	数日
ovkg	炤
ovpb	数字
ovpt	数额
ovrh	数年
ovrn	数据
ovrv	数招
ovtf	数千
ovty	数
ovuq	数次
ovwf	数值
ovxe	数组
owbn	炝
owdc	煅
owdy	粉碎
owfc	烩
owgg	烇
owgk	粭
owgn	熻
owgs	粉末
ownd	糇
owvn	粉
owwt	粮食作物
owxf	烨
owyc	炩
owyk	焓
oxhh	粌
oxim	纇
oxqc	粉红色
oyaj	粮草
oybb	炉子
oybg	焞
oybt	燉
oyce	焴
oyfc	煽动
oyfg	粧
oygg	炷
oyiq	炫耀
oymn	炕
oyna	煸
oynn	煽
oynt	炉 粐
oyoc	燮
oyoo	炉火
oyow	米粉
oyqn	米饭
oyst	米格
oyty	米
oyuf	米兰
oyuo	燫
oyve	粮 烺
oyvi	糠
oyvk	糖
oywf	粹
oywy	粮食
oyxy	炫
oyy	炆
padd	宽大
pahh	宦
pajd	寞
pajh	冪
pamq	宽
papn	宦官
papw	宽容
paui	宽阔
paya	宽度
payy	宽广
pbf	字
pbga	字形 字型
pbhh	实际上
pbov	字数
pbrg	空降兵
pbsu	字样
pbtw	字符
pbud	字头
pbws	字体
pbxg	字母
pbyo	字迹
pcpg	实验室
pdcm	宏观
pdcu	宏
pddd	宏大
pdef	宥
pdep	宠爱
pdev	寡
pdf	宕
pdfe	宸
pdgq	害死
pdhj	割
pdhk	害 豁
pdhu	寷
pdjh	害虫
pdls	寕
pdnr	害怕
pdnt	宬
pdpy	祖右社
pdrn	割据
pdrt	寄托
pdsk	寄
pdtg	寄生
pdu	宊
pdud	寡头
pdui	寮
pdvv	寡妇
pdwf	宏伟
pdww	害人
pdxb	宠
peax	农药
pedl	农历
peet	农用
pefd	宜城
pefn	农场
peft	宜都
pefu	家境
pefw	农夫
pegf	宜
pehw	家具
pei	农
peiv	家当
peiw	宜兴
pejf	家里
pejj	宜昌
pejn	家电
pekh	家中
pelf	家园
pell	农田
pena	农民
pent	家属
peog	农业
pepe	农家
pesf	农村
pesu	寀
peta	家长
petf	农行
petl	家务
peu	家
peut	家产
peuy	家门
pevc	农奴
pewo	家伙
peww	家人
pext	家乡
peyn	农户
peyt	家庭 家族
peyu	冢
peyx	家畜
pfaa	完工
pfbg	守卫
pfdn	完成
pffd	守城
pffn	赛场
pfft	宗教
pfgk	完整 赛事
pfhw	寘
pfim	賨 崈
pfir	宗派
pfiu	宗
pfjc	骞
pfje	褰
pfjf	塞
pfjh	蹇
pfjj	宑
pfjm	赛
pfjr	搴
pfjs	寨
pfju	寒
pfjy	謇
pfmq	寒风
pfny	冠以
pfpg	宗室
pfpl	冠军 守军
pfqb	完
pfqc	寇 冦
pfqf	冠
pfrg	赛后
pfry	守护
pftb	赛季
pftg	宋献策
pftl	完备
pfu	守
pfud	完善
pfug	完美
pfuj	寒意
pfuw	寒冷
pfvb	完好
pfvq	完婚
pfwg	完全
pfxj	宗旨
pfxx	完毕
pfyt	宗族
pgad	定期
pgbm	写出
pgcf	室
pgde	富有
pgdg	宝石
pgdm	宣布
pgdn	写成
pgef	寈
pgfj	实事求是 宇
pgga	定型
pggf	富于
pggh	写下
pggj	定理
pggy	宝玉
pghk	宣战
pghu	定
pgib	军事法院
pgjg	宣 定量
pgkh	宝贵 富贵
pgkl	富 冨
pgln	憲
pgmh	宝贝
pgmw	室内 寅
pgnd	定居
pgng	写
pgnt	定性
pgpg	宝宝
pgpm	宇宙
pgpt	神来之笔 定额
pgpu	富裕
pgqd	定然
pgqm	寳
pgrm	定制 寚 寶
pgrn	宣扬
pgtf	宣告 宣德
pgtm	定向
pgtq	宣称
pgtr	宝物
pgtv	定律
pgut	写道
pguy	宣武门
pgvn	宝刀
pgwf	宣传 安理会
pgwg	宝剑
pgwt	写作
pgwu	定位
pgww	富人 定价
pgwy	写信 富含
pgxk	富强
pgxy	宣统
pgyf	宣读
pgyl	定为 宝库
pgyn	富户
pgyp	富豪
pgyq	定义
pgyu	宝
pgyw	宝座 军政府
pgyy	宣言
phge	寂静
phic	寂
phng	宐
phpa	寂寞
pief	宵
pivc	寖
pjdh	幂
pjgh	寔
pjgj	审理
pjhj	审
pjmy	寓
pjpg	审定
pjpy	审视
pjrx	审批
pjsj	审查
pjsy	审核
pjud	审判
pjug	审美
pjuu	冥
pjvf	宴
pjwf	宴会
pjyf	审计
pjyg	宴请
pjym	宜昌市
pjyn	审讯
pjyy	审议
pkfd	宫城
pkff	宫墙
pkjf	宫里
pkkf	宫
pkkh	宫中
pkna	宫殿
pkos	宫灯
pktf	宫廷
pktk	宮
pkuu	宫阙
pkuy	宫门
pkvv	宫女
plap	军营
plaq	军警 军区
plbh	郓
plbw	军队
plcn	军马
plet	军用
plfg	军士
plge	寰
plgh	军政
plgk	军事
plit	农田水利
plj	军
plje	宋思明
pljg	军师
plkh	军中
pllf	军团
plna	军民
plng	军情
plny	军心
ploo	军火
plpn	军官
plpw	军容
plsa	军械
plsm	军机
plsu	军校
plta	军长
plte	军舰
pltk	军种
pltl	军务 军备
pltq	军衔
pltv	军委
pluw	军阀
plww	军人
plxj	军费
plxn	军纪
plyk	军训
plyy	军方
pmad	宙斯
pmb	冗
pmf	宙
pnad	突尼斯
pnav	密切
pnbk	官职
pndc	密码
pndm	密布
pnej	甯
pnff	密封
pnfn	官场
pngk	官吏
pnhi	寐
pnhk	寤
pnhn	官
pnhp	逭
pnhy	寣
pnjt	蜜蜂
pnkm	官员
pnlf	官署
pnlh	寜
pnls	寧
pnmm	官山
pnng	官司
pnpe	官家
pnpl	官军
pnqt	官儿
pnrg	官兵
pntf	寗
pntg	实习生
pntj	蜜
pntm	密
pntr	宓
pnwd	官僚
pnwe	寥
pnww	官人
pnwy	密集
pny	廴
pnya	密度
pnyt	官话
pnyw	官府
pnyy	官方
poaq	灾区 农业区
pocu	叜
pocw	灾难
pona	灾民
popd	灾害
pou	灾
pouk	农业部
ppbf	之际
ppdd	实实在在
ppet	之用
ppfg	之二
ppgg	之一
ppgh	之下
pphh	之上
ppia	之江
ppkh	之中
pplk	神农架
ppmw	之内
ppod	之类
pppp	之
ppqh	之外
pprg	之后
ppue	之前
ppuj	之间
ppuy	安定门
pqbb	宛
pqbj	剜
pqbn	惌
pqky	冤 寃
pqqg	鸩
pqsg	冤枉
pqvk	宛如
prcy	寙
prgw	宾
prhj	牢
prld	牢固
prnt	实质性
prny	之所以
prpr	牢牢
prpt	宾客
prqn	宾馆
pryn	牢房
psdh	宁夏
psdr	宁愿
psfj	宋朝
psfq	宁远
psge	宁静
psia	宋江
psih	宁波
psj	宁
pssk	宁可
pssu	冧
psu	宋
pswa	宋代
ptab	宅
ptcm	客观
ptds	客厅
ptfc	客运
ptfn	客场
ptfq	宪
ptfy	初等教育
ptgh	宪政
ptif	宪法
ptis	被选举权
ptit	安徽省
ptkf	客
ptkm	额
ptlg	客车
ptog	农牧业
ptpf	宪宗
ptqh	额外
ptrg	宪兵
ptrn	客气
ptsm	客机
ptud	额头
ptuj	宪章
ptum	客商
ptwf	军委会
ptww	客人
ptyh	客店
ptyn	客户 客房
puad	初期
puak	褡
pubb	裤子 被子 袖子 裙子 袜子
pubf	实际
pucc	裰
pucw	实验
pucy	衩
pudf	褥
pudh	实在
pudn	袴
pudu	实
pueg	补助 袓
puet	实用 衫
pufb	实地
pufc	被动
puff	褠
pufh	褂 袆
pufj	褚 襦
pufk	裸露
pufy	衬
puge	裱
pugg	初一
pugk	实事
pugm	实现
pugs	袜
puhc	被
puhe	褃
puhh	裃
puhi	初步
puhk	实战
puhy	补
pui	衤
puif	褝
puiv	裆
puj	宰
pujf	初时 实时
pujg	袒
pujl	褴
pujn	褐 褟
pujr	裼
pujs	裸
pukg	裎
pukh	实践 初中
pukk	农产品
pukm	审判员
pukn	被叫
puld	裀
pulp	褳 裢
pult	实力
pume	襛
pumg	袖
pumh	补贴
pumk	裯
pumw	衲
pund	裾
pung	实情
punr	褶
punu	实习
punw	袂
puof	襨
puog	实业
pupk	寝宫
pupl	裈
pupu	衬衫
pupw	被窝 袕
puqc	褐色
puqn	袍
puqv	褶皱
puqy	襜
purf	实质 裨
purg	被捕
purh	初年
purm	褫
purp	被迫
push	宰相
pusi	襟
pusr	襻
putd	袄
putf	实行 被告 衽
putk	袼
putl	补血 裇
putr	实物
puue	褙
puuf	袢
puui	襕
puuj	裥
puuq	初次
puvc	寝
puve	裉
puvi	实录
puvk	裙
puvn	初
puvp	褪
puwd	袱
puwe	被俘
puwg	实例
puwi	补偿 裣
puwk	裕 袷
puwn	衿
puws	实体
puwv	衯
puww	襝
puxe	初级
puxw	补给
puya	褊
puyc	补充
puyl	裤 实为
puyt	实施 实话
pvb	宄
pvbb	案子
pvbf	安陆
pvdm	頞
